personName,finalWorth,category,age,country,organization
Hui Ka Yan,3000,Real Estate,64,China,
Vivek Jain,3000,Manufacturing,67,India,
Friedrich Knapp,3000,Fashion & Retail,71,Germany,
Egor Kulkov,3000,Healthcare,51,Switzerland,
Lin Ming-hsiung,3000,Fashion & Retail,73,Taiwan,
Lin Xiucheng & family,3000,Technology,67,China,
Harsh Mariwala,3000,Food & Beverage,71,India,
Gilles Martin,3000,Healthcare,59,France,
Maja Oeri,3000,Healthcare,68,Switzerland,
John Paulson,3000,Finance & Investments,67,United States,Paulson & Co. Inc.
Ajay Piramal,3000,Healthcare,67,India,
Guanghe Qiu & family,3000,Fashion & Retail,71,China,
Stephen Rubin,3000,Fashion & Retail,86,United Kingdom,
Robert Sands,3000,Food & Beverage,64,United States,
Erik Selin,3000,Real Estate,55,Sweden,
Yonghong Shi & family,3000,Food & Beverage,54,China,
Martua Sitorus,3000,Manufacturing,63,Singapore,
Guangxin Sun,3000,Diversified,60,China,
Sukanto Tanoto,3000,Diversified,73,Singapore,
Sunny Varkey,3000,Service,65,United Arab Emirates,
Gang Ye,3000,Media & Entertainment,42,Singapore,
Ye Xiaoping,3000,Healthcare,60,China,
Lei Zhang,3000,Finance & Investments,50,Hong Kong,
Zhu Gongshan & family,3000,Manufacturing,65,China,
Isak Andic & family,2900,Fashion & Retail,69,Spain,
Alberto Bombassei,2900,Automotive,82,Italy,
Cao Longxiang & family,2900,Healthcare,65,China,
"Roy Carroll, II.",2900,Real Estate,60,United States,
John Caudwell,2900,Telecom,70,United Kingdom,
James Clark,2900,Technology,79,United States,Netscape Communications Corporation
Jacques D'Amours,2900,Fashion & Retail,66,Canada,Alimentation Couche Tard Inc. Cl A
John Paul DeJoria,2900,Fashion & Retail,78,United States,
Bernard Ecclestone & family,2900,Sports,92,United Kingdom,
Michael Federmann & family,2900,Technology,79,Israel,
Kenneth Feld & family,2900,Media & Entertainment,74,United States,Feld Entertainment
Gu Yuhua & family,2900,Manufacturing,73,China,
Otto Happel,2900,Construction & Engineering,75,Switzerland,
Gudrun Heine,2900,Healthcare,68,Germany,
Donald Horton & family,2900,Real Estate,73,United States,
Zarakh Iliev,2900,Real Estate,56,Russia,
Ipek Kirac,2900,Diversified,38,Turkey,
Lee Seo-hyun,2900,Technology,49,South Korea,
Li Jianquan & family,2900,Healthcare,66,China,
Li Li,2900,Healthcare,57,China,
Li Xiaohua & family,2900,Manufacturing,61,China,
Liu Xiaodong,2900,Manufacturing,55,China,
Martin Lorentzon,2900,Technology,54,Sweden,
Ronald McAulay,2900,Energy,87,Hong Kong,
Erwin Franz Mueller,2900,Fashion & Retail,90,Germany,
Georg Nemetschek & family,2900,Technology,89,Germany,
God Nisanov,2900,Real Estate,50,Russia,
Vikas Oberoi,2900,Real Estate,52,India,
Gregorio Perez Companc & family,2900,Energy,87,Argentina,
Sebastian Piñera & family,2900,Finance & Investments,73,Chile,Chile
Arvind Poddar,2900,Automotive,65,India,
Alexey Repik,2900,Healthcare,43,Russia,
Haim Saban,2900,Media & Entertainment,78,United States,
Rodney Sacks,2900,Food & Beverage,73,United States,Monster Beverage
Karthik Sarma,2900,Finance & Investments,48,United States,
Sybill Storz,2900,Healthcare,85,Germany,
Daniel Sundheim,2900,Finance & Investments,46,United States,
"William Wrigley, Jr.",2900,Food & Beverage,59,United States,"Wrigley Management, Inc."
Zhang Wenzhong,2900,Fashion & Retail,61,China,
Zhou Jianping,2900,Fashion & Retail,62,China,
Joy Alukkas,2800,Fashion & Retail,66,India,
Kang An,2800,Healthcare,74,China,
Garrett Camp,2800,Technology,44,United States,Uber Technologies Inc.
Chen Lip Keong,2800,Gambling & Casinos,75,Cambodia,
Choo Chong Ngen,2800,Real Estate,69,Singapore,
Euisun Chung,2800,Automotive,52,South Korea,Hyundai Motor Co. Ltd.
Smita Crishna-Godrej,2800,Diversified,72,India,
Eleanor Butt Crook & family,2800,Fashion & Retail,90,United States,
Du Jiangtao & family,2800,Manufacturing,53,China,
Lorenzo Fertitta,2800,Sports,54,United States,
Sebastian Glaser,2800,Technology,,Germany,
Adi Godrej,2800,Diversified,81,India,
Jamshyd Godrej,2800,Diversified,74,India,
Lee Yeow Chor,2800,Real Estate,56,Malaysia,
Li Weiguo,2800,Manufacturing,58,China,
Dmitry Mazepin,2800,Manufacturing,54,Russia,
"Drayton McLane, Jr.",2800,Fashion & Retail,86,United States,
Najib Mikati,2800,Telecom,67,Lebanon,
Taha Mikati,2800,Telecom,78,Lebanon,
Akira Mori & family,2800,Real Estate,86,Japan,
Rishad Naoroji,2800,Diversified,71,India,
Philip Niarchos,2800,Diversified,69,France,
Nandan Nilekani,2800,Technology,67,India,
Benjamin Otto,2800,Fashion & Retail,,Germany,
Maren Otto,2800,Diversified,,Germany,
Ranjan Pai,2800,Service,50,India,
Madhukar Parekh,2800,Manufacturing,76,India,
Sean Parker,2800,Technology,43,United States,
Stewart Rahr,2800,Healthcare,77,United States,
Su Hua,2800,Media & Entertainment,41,China,
Sun Shoukuan,2800,Manufacturing,73,China,
Tseng Cheng,2800,Manufacturing,61,Taiwan,
Tung Chee Hwa,2800,Logistics,85,Hong Kong,
Meg Whitman,2800,Technology,66,United States,Quibi
Wong Luen Hei,2800,Manufacturing,61,Hong Kong,
Chenghai Ye & family,2800,Healthcare,79,Hong Kong,
Zhu Xingming,2800,Manufacturing,56,China,
Jose Joao Abdalla Filho,2700,Finance & Investments,77,Brazil,
Juan Abello,2700,Finance & Investments,81,Spain,
Suhail Bahwan,2700,Diversified,84,Oman,
Madhur Bajaj,2700,Diversified,70,India,
Niraj Bajaj,2700,Diversified,68,India,
Shekhar Bajaj,2700,Diversified,74,India,
Harindarpal Banga,2700,Finance & Investments,72,Hong Kong,
Ulrike Baro,2700,Healthcare,,Germany,
Anne Beaufour,2700,Healthcare,59,United Kingdom,
Henri Beaufour,2700,Healthcare,57,United Kingdom,
Andrei Bokarev,2700,Manufacturing,56,Russia,
Jack Cowin,2700,Food & Beverage,80,Australia,
Glenn Dubin,2700,Finance & Investments,65,United States,
N. Murray Edwards,2700,Energy,63,United Kingdom,
"Frank Fertitta, III.",2700,Sports,61,United States,
Abhay Firodia,2700,Automotive,78,India,
Bruce Flatt,2700,Finance & Investments,57,United Kingdom,
Miguel Fluxa Rossello,2700,Service,84,Spain,
Robert Friedland,2700,Metals & Mining,72,Singapore,Ivanhoe Mines Ltd.
Alexander Frolov,2700,Metals & Mining,58,Russia,
Nadir Godrej,2700,Diversified,72,India,
Maggie Hardy,2700,Service,57,United States,
Nithin Kamath,2700,Finance & Investments,43,India,
Samvel Karapetyan,2700,Construction & Engineering,57,Russia,
Kei Hoi Pang,2700,Real Estate,57,Hong Kong,
Mustafa Rahmi Koc,2700,Diversified,92,Turkey,
Yuri Kovalchuk & family,2700,Finance & Investments,71,Russia,
Geoffrey Kwok,2700,Real Estate,37,Hong Kong,
Jonathan Kwok,2700,Real Estate,31,Hong Kong,
Hans Langer,2700,Manufacturing,71,Germany,
Frank Laukien,2700,Manufacturing,63,United States,
Maritsa Lazari & family,2700,Real Estate,78,United Kingdom,
Angela Leong,2700,Real Estate,62,Hong Kong,
Li Zhongchu,2700,Technology,59,China,
Liang Yunchao,2700,Food & Beverage,54,China,
Vincent McMahon,2700,Sports,77,United States,
Patrice Motsepe,2700,Metals & Mining,61,South Africa,
Denis O'Brien,2700,Telecom,64,Ireland,
Timm Oberwelland,2700,Food & Beverage,,,
Dan Olsson,2700,Diversified,76,Sweden,
Yuji Otsuka,2700,Technology,69,Japan,
Pan Dong,2700,Fashion & Retail,58,Hong Kong,
Karsanbhai Patel,2700,Diversified,79,India,
Richard Peery,2700,Real Estate,84,United States,
Gianfelice Rocca,2700,Metals & Mining,75,,
Paolo Rocca,2700,Metals & Mining,70,,
Wayne Rothbaum,2700,Healthcare,55,United States,
Jeff Rothschild,2700,Technology,68,United States,Meta Platforms
Raj Sardana,2700,Technology,63,United States,
Christiane Schoeller,2700,Media & Entertainment,,,
Salil Singhal,2700,Manufacturing,75,India,
Alexander Skorobogatko,2700,Logistics,55,Russia,
Evan Spiegel,2700,Technology,32,United States,Snap
Glen Taylor,2700,Service,81,United States,
Thomas Tull,2700,Media & Entertainment,52,United States,
Bulat Utemuratov,2700,Metals & Mining,65,Kazakhstan,
Gustav Magnar Witzoe,2700,Food & Beverage,29,Norway,
Wong Man Li,2700,Manufacturing,58,Hong Kong,
Guangming Wu,2700,Healthcare,61,China,
Zhu Yi,2700,Healthcare,59,China,
Ben Ashkenazy,2600,Real Estate,53,United States,
Felix Baker,2600,Finance & Investments,54,United States,
Julian Baker,2600,Finance & Investments,56,United States,
David Baszucki,2600,Media & Entertainment,60,United States,
Joesley Batista,2600,Food & Beverage,51,Brazil,
Wesley Batista,2600,Food & Beverage,50,Brazil,
Yvonne Bauer,2600,Media & Entertainment,46,Germany,
Miriam Baumann-Blocher,2600,Manufacturing,48,Switzerland,
Cen Junda,2600,Healthcare,58,China,
Richard Chandler,2600,Finance & Investments,64,Singapore,
Chen Zhiping,2600,Manufacturing,47,China,
Fernando Chico Pardo,2600,Service,71,Mexico,
Ray Davis,2600,Energy,81,United States,
Maria Del Pino,2600,Construction & Engineering,67,Spain,
Deng Weiming & family,2600,Manufacturing,54,China,
"John Dorrance, III.",2600,Food & Beverage,79,Ireland,
Carl Douglas,2600,Diversified,61,Sweden,
Eric Douglas,2600,Diversified,54,Sweden,
Fiona Geminder,2600,Manufacturing,58,Australia,
Stewart Horejsi & family,2600,Finance & Investments,85,United States,
Hou Juncheng,2600,Healthcare,58,China,
Zhenda Huang & family,2600,Construction & Engineering,75,China,
Dmitry Kamenshchik,2600,Service,54,Russia,
Alicia Koplowitz,2600,Finance & Investments,69,Spain,
Adam Kwok,2600,Real Estate,40,Hong Kong,
Henry Laufer,2600,Finance & Investments,77,United States,
Louis Le Duff,2600,Food & Beverage,76,France,
Mark Leonard & family,2600,Technology,66,Canada,
Li Guoqiang,2600,Automotive,59,China,
Li Yongxin,2600,Service,47,China,
Peter Lim,2600,Finance & Investments,69,Singapore,
Lu Weiding,2600,Diversified,52,China,
Sergio Mantegazza,2600,Service,95,Switzerland,
Hans Melchers,2600,Finance & Investments,84,Netherlands,
C. Dean Metropoulos,2600,Food & Beverage,76,United States,
Hans Georg Naeder,2600,Manufacturing,61,Germany,
Falguni Nayar,2600,Fashion & Retail,60,India,Nykaa
James Packer,2600,Finance & Investments,55,United States,
Alexander Ponomarenko,2600,Logistics,58,Russia,
Nicholas Pritzker,2600,Finance & Investments,79,United States,
Alejandro Santo Domingo,2600,Food & Beverage,46,United States,
Steven Sarowitz,2600,Technology,57,United States,
Maria-Elisabeth Schaeffler-Thumann,2600,Automotive,81,Germany,
Leonard Schleifer,2600,Healthcare,70,United States,Regeneron Pharmaceuticals
Dieter Schnabel,2600,Manufacturing,77,Germany,
Michael S. Smith,2600,Energy,67,United States,
Julia Thiele-Schuerhoff,2600,Manufacturing,51,Germany,
John Tyson & family,2600,Food & Beverage,69,United States,
Anna Katharina Viessmann,2600,Manufacturing,,Germany,
Jurgen Wirtgen,2600,Construction & Engineering,57,,
Stefan Wirtgen,2600,Construction & Engineering,52,,
Zhao Lixin,2600,Technology,57,China,
Hongyi Zhou,2600,Technology,52,China,
S. Daniel Abraham,2500,Food & Beverage,98,United States,S. Daniel Abraham Center for Middle East Peace
Bill Alfond,2500,Fashion & Retail,74,United States,
Susan Alfond,2500,Fashion & Retail,77,United States,
Ted Alfond,2500,Fashion & Retail,78,United States,
Riley Bechtel & family,2500,Construction & Engineering,71,United States,Bechtel Corp.
Thor Bjorgolfsson,2500,Diversified,56,United Kingdom,
Charles Bronfman,2500,Food & Beverage,91,United States,
Vivek Chand Burman,2500,Food & Beverage,85,India,
Herb Chambers,2500,Automotive,81,United States,
Cheng Yixiao,2500,Media & Entertainment,39,China,
Andrew Cherng,2500,Food & Beverage,75,United States,
Peggy Cherng,2500,Food & Beverage,75,United States,
Leon G. Cooperman,2500,Finance & Investments,79,United States,"Omega Advisors, Inc."
Yadu Hari Dalmia & family,2500,Manufacturing,75,India,
Henry Davis,2500,Food & Beverage,72,United States,
Oleg Deripaska,2500,Metals & Mining,55,Russia,
Sergey Dmitriev,2500,Technology,57,Cyprus,
Joseph Edelman,2500,Finance & Investments,67,United States,Perceptive Advisors
Sandeep Engineer,2500,Manufacturing,61,India,
Alceu Elias Feldmann & family,2500,Energy,73,Brazil,
Serge Godin,2500,Technology,73,Canada,CGI Group
Alec Gores,2500,Finance & Investments,70,United States,
Bill Haslam,2500,Fashion & Retail,64,United States,
J. Tomilson Hill,2500,Finance & Investments,74,United States,
Jay-Z,2500,Media & Entertainment,53,United States,
Baba Kalyani,2500,Automotive,74,India,
Saban Cemil Kazanci,2500,Energy,62,Turkey,
Brad Kelley,2500,Real Estate,66,United States,
Wolfgang Leitner,2500,Construction & Engineering,70,Austria,
Li Hongxin & family,2500,Manufacturing,70,China,
Lin Chen-hai,2500,Real Estate,76,Taiwan,
Lu Yiwen,2500,Fashion & Retail,36,China,
Prayudh Mahagitsiri,2500,Food & Beverage,77,Thailand,
Willy Michel,2500,Healthcare,76,Switzerland,
Lachhman Das Mittal,2500,Automotive,92,India,
Bobby Murphy,2500,Technology,34,United States,Snap
Tomas Olivo Lopez,2500,Real Estate,49,Spain,
Eren Ozmen,2500,Manufacturing,64,United States,
John Pritzker,2500,Finance & Investments,69,United States,
Qiu Minxiu,2500,Technology,77,China,
Ferit Faik Sahenk,2500,Diversified,59,Turkey,
Wenrong Shen,2500,Metals & Mining,77,China,
Yuzhu Shi,2500,Diversified,60,China,
Jeff Sutton,2500,Real Estate,63,United States,
"Henry Sy, Jr.",2500,Diversified,69,Philippines,
Andrew Tan,2500,Diversified,71,Philippines,
Arvind Tiku,2500,Energy,53,Singapore,
Byron Trott,2500,Finance & Investments,64,United States,
Donald Trump,2500,Real Estate,76,United States,
Peter Unger,2500,Automotive,78,Germany,
Roger Wang,2500,Fashion & Retail,74,China,
Oprah Winfrey,2500,Media & Entertainment,69,United States,
Wu Zhigang & family,2500,Food & Beverage,88,China,
Xie Weitong,2500,Metals & Mining,66,Singapore,
Ye Guofu,2500,Fashion & Retail,45,China,
Brian Acton,2400,Technology,51,United States,WhatsApp Inc.
Abdulla Al Futtaim & family,2400,Automotive,83,United Arab Emirates,
Edward Bass,2400,Energy,77,United States,
Koos Bekker,2400,Media & Entertainment,70,South Africa,
Otto Philipp Braun,2400,Healthcare,45,Germany,
Chen Tei-fu,2400,Fashion & Retail,74,United States,
Abilio dos Santos Diniz,2400,Fashion & Retail,86,Brazil,
Marcel Erni,2400,Finance & Investments,58,Switzerland,
Doris Fisher,2400,Fashion & Retail,91,United States,Gap Inc.
Gerald Ford,2400,Finance & Investments,78,United States,Ford Financial Fund
Bernard Fraisse & family,2400,Healthcare,66,France,
Alfred Gantner,2400,Finance & Investments,55,Switzerland,
Paul Gauselmann & family,2400,Gambling & Casinos,88,Germany,
Mitchell Goldhar,2400,Real Estate,61,Canada,SmartCentres
Peter Hargreaves,2400,Finance & Investments,76,United Kingdom,
Xuande Hua & family,2400,Healthcare,79,China,
Kwek Leng Kee,2400,Diversified,68,Singapore,
Catherine Lozick,2400,Manufacturing,77,United States,
Kalanithi Maran,2400,Media & Entertainment,57,India,
Jed McCaleb,2400,Finance & Investments,48,United States,
Fatih Ozmen,2400,Manufacturing,65,United States,
Pan Laican,2400,Food & Beverage,,China,
Tor Peterson,2400,Metals & Mining,58,Switzerland,
Daniel Pritzker,2400,Finance & Investments,63,United States,
Jinxing Qi,2400,Real Estate,61,China,
Qiu Jianping & family,2400,Manufacturing,61,China,
Rajan Raheja & family,2400,Diversified,68,India,
Matthias Reinhart,2400,Finance & Investments,63,Switzerland,
Arnout Schuijff,2400,Technology,55,Netherlands,
Hans Sy,2400,Diversified,67,Philippines,
Herbert Sy,2400,Diversified,66,Philippines,
Lucio Tan,2400,Diversified,88,Philippines,
Tsai Ming-kai,2400,Technology,72,Taiwan,
Ted Turner,2400,Media & Entertainment,84,United States,
David Walentas,2400,Real Estate,84,United States,
Urs Wietlisbach,2400,Finance & Investments,61,Switzerland,
Jerry Yang,2400,Technology,54,United States,Yahoo!
Yang Jianliang & family,2400,Manufacturing,53,China,
Yang Weidong & family,2400,Manufacturing,54,China,
Mortimer Zuckerman,2400,Real Estate,85,United States,Boston Properties
John Armitage,2300,Finance & Investments,63,United Kingdom,Egerton Capital
Lee Bass,2300,Energy,66,United States,
John Bicket,2300,Technology,43,United States,
Sanjit Biswas,2300,Technology,41,United States,
Timothy Boyle,2300,Fashion & Retail,73,United States,
Morris Chang,2300,Technology,91,Taiwan,
Chao Teng-hsiung,2300,Real Estate,78,Taiwan,
Samuel Chen,2300,Finance & Investments,73,,
Chu Lam Yiu,2300,Manufacturing,53,Hong Kong,
K. Dinesh,2300,Technology,68,India,
James Duff,2300,Diversified,62,United States,
Thomas Duff,2300,Diversified,66,United States,
Daniel Ek,2300,Technology,40,Sweden,Spotify
John Fisher,2300,Fashion & Retail,61,United States,"Pisces, Inc."
Georg Haub,2300,Fashion & Retail,61,Germany,
Erman Ilicak,2300,Construction & Engineering,55,Turkey,
Justin Ishbia,2300,Finance & Investments,45,United States,
Long Jiang,2300,Technology,49,China,
Bruce Karsh,2300,Finance & Investments,67,United States,Oaktree Capital Group LLC
Bom Kim,2300,Technology,44,South Korea,Coupang
Jianping Lai,2300,Food & Beverage,,China,
Lam Kong,2300,Healthcare,58,Hong Kong,
Stephen Lansdown,2300,Finance & Investments,70,Guernsey,
Kevin David Lehmann,2300,Fashion & Retail,20,,
Li Haiyan,2300,Food & Beverage,,China,
Hua Li,2300,Finance & Investments,45,China,
Lim Kok Thay,2300,Gambling & Casinos,71,Malaysia,
Kishore Mariwala,2300,Food & Beverage,88,India,
Clayton Mathile,2300,Food & Beverage,82,United States,
Mi Enhua,2300,Fashion & Retail,65,China,
Vadim Moshkovich,2300,Food & Beverage,55,Russia,
David Murdock,2300,Food & Beverage,99,United States,
David Nahmad,2300,Fashion & Retail,75,United States,
Lirio Parisotto,2300,Finance & Investments,69,Brazil,
Augusto Perfetti,2300,Food & Beverage,,Switzerland,
Giorgio Perfetti,2300,Food & Beverage,,Switzerland,
Alberto Prada,2300,Fashion & Retail,69,Italy,
Marina Prada,2300,Fashion & Retail,77,Italy,
Filiz Sahenk,2300,Diversified,56,Turkey,
Richard Sands,2300,Food & Beverage,72,United States,
Stephan Schmidheiny,2300,Finance & Investments,75,Switzerland,
Alberto Siccardi & family,2300,Healthcare,78,Switzerland,
Stefan Soloviev,2300,Real Estate,47,United States,
Tang Yiu,2300,Fashion & Retail,89,Hong Kong,
Tian Ming,2300,Technology,69,China,
T.Y. Tsai,2300,Finance & Investments,70,Taiwan,
Jayshree Ullal,2300,Technology,62,United States,Arista
Georg von Opel,2300,Finance & Investments,56,United Kingdom,
Lang Walker,2300,Real Estate,77,Australia,
Xicheng Wang & family,2300,Manufacturing,74,China,
Wang Zhenhua,2300,Real Estate,61,China,
Paul-Heinz Wesjohann & family,2300,Food & Beverage,79,Germany,
Xie Bingkun & family,2300,Fashion & Retail,56,China,
Xu Shugen,2300,Manufacturing,57,China,
Christoph Zeller,2300,Healthcare,65,Liechtenstein,
Zhang Jingzhang & family,2300,Manufacturing,87,China,
George Argyros & family,2200,Real Estate,86,United States,Arnel & Affiliates
Brian Armstrong,2200,Finance & Investments,40,United States,
Albert Avdolyan,2200,Energy,52,Russia,
Sezai Bacaksiz,2200,Diversified,73,Turkey,
Aneel Bhusri,2200,Technology,57,United States,Workday
Brett Blundy,2200,Fashion & Retail,63,Bahamas,
J. Hyatt Brown,2200,Finance & Investments,85,United States,
Chen Jinxia,2200,Finance & Investments,55,China,
Chen Xueli,2200,Healthcare,71,China,
Dermot Desmond,2200,Finance & Investments,72,Ireland,
Dong Wei,2200,Healthcare,52,China,
Tom Ford,2200,Fashion & Retail,61,United States,
Fu Guangming & family,2200,Food & Beverage,69,China,
Noam Gottesman,2200,Finance & Investments,61,United States,TOMS Capital
Jeffrey Gundlach,2200,Finance & Investments,64,United States,DoubleLine Capital
Hao Hong,2200,Healthcare,67,China,
Shmuel Harlap,2200,Automotive,78,Israel,
Hans-Werner Hector,2200,Technology,83,Germany,
Lutz Mario Helmig & family,2200,Healthcare,76,Germany,
Chulong Huang,2200,Real Estate,64,China,
Thomas James,2200,Finance & Investments,80,United States,
James Jannard,2200,Fashion & Retail,73,United States,
Willis Johnson,2200,Automotive,75,United States,
Lai Shixian,2200,Fashion & Retail,48,China,
Chris Larsen,2200,Finance & Investments,62,United States,
Solomon Lew,2200,Fashion & Retail,78,Australia,
Liang Xinjun,2200,Diversified,54,Singapore,
Harald Link,2200,Diversified,68,Thailand,
Max Lytvyn,2200,Technology,43,United States,
Igor Makarov,2200,Energy,60,United States,
Howard Marks,2200,Finance & Investments,76,United States,Oaktree Capital Group LLC
Charles Munger,2200,Finance & Investments,99,United States,Berkshire Hathaway Inc. (Cl A)
Adam Neumann,2200,Real Estate,44,United States,
Thi Phuong Thao Nguyen,2200,Diversified,52,Vietnam,Sovico Holdings
Ni Yongpei & family,2200,Food & Beverage,71,China,
Heloise Pratt,2200,Manufacturing,60,Australia,
Qi Xiangdong,2200,Technology,52,China,
Phillip T. (Terry) Ragon,2200,Technology,73,United States,
Prathap Reddy,2200,Healthcare,91,India,
Jerry Reinsdorf,2200,Sports,87,United States,
Chad Richison,2200,Technology,52,United States,
"Karl Scheufele, III. & family",2200,Fashion & Retail,84,Switzerland,
Alice Schwartz,2200,Healthcare,96,United States,
Alex Shevchenko,2200,Technology,43,Canada,
Kavitark Ram Shriram,2200,Technology,66,United States,Sherpalo Ventures
Jeffrey Soffer,2200,Real Estate,55,United States,
William Stone,2200,Technology,67,United States,
Henry Swieca,2200,Finance & Investments,65,United States,Talpion Fund Management
Harley Sy,2200,Diversified,63,Philippines,
Teresita Sy-Coson,2200,Diversified,72,Philippines,
Katsumi Tada,2200,Real Estate,77,Japan,
Tang Jinkui & family,2200,Manufacturing,67,China,
Tang Xiao'ou,2200,Technology,55,China,
Lottie Tham & family,2200,Fashion & Retail,73,Sweden,
Shamsheer Vayalil,2200,Healthcare,46,United Arab Emirates,
Radha Vembu,2200,Technology,50,India,
Wang Wenmo,2200,Fashion & Retail,66,China,
Wang Zhenghua,2200,Service,78,China,
David Wertheim,2200,Food & Beverage,65,Israel,
Kai Wu,2200,Energy,55,China,
Xu Yingzhuo,2200,Food & Beverage,55,China,
Yeung Kin-man,2200,Manufacturing,59,Hong Kong,
Huijiao Yu,2200,Logistics,57,China,Shanghai YTO Express (Logistics)
Oren Zeev,2200,Finance & Investments,58,United States,
Clayton Zekelman,2200,Manufacturing,54,Canada,
Zhao Fenggang,2200,Energy,57,China,
Alex Beard,2100,Metals & Mining,55,United Kingdom,
Travis Boersma,2100,Food & Beverage,52,United States,
Martin Bouygues,2100,Construction & Engineering,,France,
Olivier Bouygues,2100,Construction & Engineering,72,,
William Boyd & family,2100,Gambling & Casinos,91,United States,
Anand Burman,2100,Food & Beverage,70,India,
Cao Ji,2100,Manufacturing,71,China,
Bruce Cheng,2100,Technology,86,Taiwan,
Chi Yufeng,2100,Technology,52,China,
Daniel Chiu,2100,Energy,62,Hong Kong,
Beda Diethelm,2100,Healthcare,82,Switzerland,
Domenico Dolce,2100,Fashion & Retail,64,Italy,
Ralph Dommermuth,2100,Technology,59,Germany,
Georgi Domuschiev,2100,Diversified,50,United Kingdom,
Kiril Domuschiev,2100,Diversified,53,United Kingdom,
Bob Ell,2100,Real Estate,78,Australia,
Paul Foster,2100,Energy,65,United States,Western Refining
Stefano Gabbana,2100,Fashion & Retail,60,Italy,
Xingjiang Gao,2100,Manufacturing,59,China,
Gordon Getty,2100,Energy,89,United States,Ann & Gordon Getty Foundation
Kamal Ghaffarian,2100,Energy,64,United States,
Dennis Gillings,2100,Healthcare,78,United States,
Harsh Goenka,2100,Diversified,65,India,
Sanjiv Goenka,2100,Diversified,62,India,
Jane Goldman,2100,Real Estate,67,United States,
Stein Erik Hagen,2100,Fashion & Retail,66,Norway,
Bahaa Hariri,2100,Real Estate,56,Switzerland,
Hortensia Herrero,2100,Fashion & Retail,72,Spain,
Douglas Hsu,2100,Diversified,80,Taiwan,
Huang Min,2100,Manufacturing,49,China,
Jared Isaacman,2100,Technology,40,United States,
Eugene Kaspersky,2100,Technology,57,Russia,
Artem Khachatryan,2100,Fashion & Retail,48,Cyprus,
Andrei Krivenko,2100,Food & Beverage,47,Russia,
Thomas Kwok,2100,Real Estate,71,Hong Kong,
Lam Wai-ying,2100,Manufacturing,,Hong Kong,Biel Crystal
Marc Lasry,2100,Finance & Investments,62,United States,Avenue Capital Group
Christian Latouche & family,2100,Finance & Investments,82,France,
Theodore Leonsis,2100,Sports,67,United States,
Lin Chang Su-O,2100,Real Estate,82,Taiwan,
Liu Chengyu & family,2100,Manufacturing,60,China,
Sergey Lomakin,2100,Fashion & Retail,49,Cyprus,
Daniel Lubetzky,2100,Food & Beverage,54,United States,
Melissa Ma,2100,Technology,,China,
Anand Mahindra,2100,Diversified,67,India,
Rafique Malik,2100,Fashion & Retail,72,India,
Katarina Martinson,2100,Diversified,41,Sweden,
Kiran Mazumdar-Shaw,2100,Healthcare,70,India,Biocon
Nirmal Minda,2100,Automotive,65,India,
Mu Rongjun,2100,Technology,43,China,
Eugene Murtagh,2100,Manufacturing,80,Ireland,
Alexander Nesis,2100,Finance & Investments,60,Russia,
Zugen Ni,2100,Manufacturing,66,China,
Florentino Perez,2100,Construction & Engineering,76,Spain,
Victor Pinchuk,2100,Metals & Mining,62,Ukraine,
Leonid Radvinsky,2100,Technology,40,United States,
Raveendran Byju,2100,Technology,41,India,
P.P. Reddy,2100,Construction & Engineering,65,India,
Richard Saghian,2100,Fashion & Retail,41,United States,
Shi Yifeng,2100,Healthcare,49,China,
Thaksin Shinawatra,2100,Finance & Investments,73,United Arab Emirates,
Shu Ping,2100,Food & Beverage,53,Singapore,
Timothy Springer,2100,Healthcare,75,United States,
Venu Srinivasan,2100,Automotive,70,India,
Edward Stack,2100,Fashion & Retail,68,United States,Dick's Sporting Goods
Sun Mengquan & family,2100,Food & Beverage,73,China,
Alexander Svetakov,2100,Finance & Investments,55,Russia,
Torsten Toeller,2100,Fashion & Retail,56,Germany,
Barbara Tyson,2100,Food & Beverage,74,United States,
Hamdi Ulukaya,2100,Food & Beverage,50,United States,Chobani
Wang Linpeng,2100,Construction & Engineering,54,China,
Wei Ing-Chou,2100,Food & Beverage,69,China,
Wei Yin-Chun,2100,Food & Beverage,66,Taiwan,
Wei Yin-Heng,2100,Food & Beverage,64,China,
Wei Ying-Chiao,2100,Food & Beverage,68,Taiwan,
Elaine Wynn,2100,Gambling & Casinos,80,United States,"Wynn Las Vegas, LLC"
Xu Xudong & family,2100,Automotive,53,China,
Michael Ying,2100,Fashion & Retail,73,Hong Kong,
Yu Qibing & family,2100,Manufacturing,57,China,
Yuan Fugen & family,2100,Manufacturing,72,China,
Zhang Ning & family,2100,Manufacturing,49,China,
Zhao Tao,2100,Healthcare,57,China,
Anu Aga,2000,Construction & Engineering,80,India,
Mohamed Al Fayed,2000,Fashion & Retail,94,United Kingdom,
Andrey Andreev,2000,Technology,49,United Kingdom,
Michael Ashcroft,2000,Finance & Investments,77,Turks and Caicos Islands,
Pavel Baudis,2000,Technology,62,Czech Republic,
Wilhelm Beier & family,2000,Healthcare,66,Germany,
Cao Jianwei,2000,Manufacturing,44,China,
Huwen Chen,2000,Manufacturing,52,China,
Phongthep Chiaravanont,2000,Diversified,71,Thailand,
Dou Zhenggang,2000,Diversified,69,China,
Maria Franca Fissolo,2000,Food & Beverage,88,Monaco,
