personName,finalWorth,category,age,country,organization
Carrie Perrodo & family,8800,Energy,72,United Kingdom,
Chen Jianhua,8700,Manufacturing,52,China,
Michael Otto,8700,Fashion & Retail,79,Germany,
Leon Black,8600,Finance & Investments,71,United States,
Graeme Hart,8600,Finance & Investments,67,New Zealand,
Ravi Jaipuria,8600,Food & Beverage,68,India,
Hasso Plattner & family,8600,Technology,79,Germany,
Carlos Alberto Sicupira & family,8600,Food & Beverage,75,Switzerland,
Manuel Villar,8600,Real Estate,73,Philippines,
Andreas von Bechtolsheim & family,8600,Technology,67,United States,Arista Networks
"Chase Coleman, III.",8500,Finance & Investments,47,United States,Tiger Global Management
Ann Walton Kroenke,8500,Fashion & Retail,74,United States,
Li Zhenguo & family,8500,Manufacturing,55,China,
Jim Kennedy,8400,Media & Entertainment,75,United States,Cox Enterprises
Nicky Oppenheimer & family,8400,Metals & Mining,77,South Africa,
Blair Parry-Okeden,8400,Media & Entertainment,72,Australia,
Zheng Shuliang & family,8400,Metals & Mining,77,China,
John Morris,8300,Fashion & Retail,75,United States,
Stefano Pessina,8300,Fashion & Retail,81,Monaco,
Francine von Finck & family,8300,Finance & Investments,,Switzerland,
Francis Choi,8200,Real Estate,75,Hong Kong,
German Khan,8200,Energy,61,Russia,
Abdulsamad Rabiu,8200,Diversified,62,Nigeria,
George Roberts,8200,Finance & Investments,79,United States,
Kushal Pal Singh,8200,Real Estate,91,India,
Wang Jianlin,8200,Real Estate,68,China,Dalian Wanda Group
Yang Huiyan & family,8200,Real Estate,41,China,
Laurent Dassault,8100,Diversified,69,France,
Thierry Dassault,8100,Diversified,66,France,
Tilman Fertitta,8100,Food & Beverage,65,United States,Landry's Inc
Marie-Hélène Habert-Dassault,8100,Diversified,58,France,
Karel Komarek,8100,Gambling & Casinos,54,Switzerland,
Nathan Blecharczyk,8000,Technology,39,United States,
Leonid Fedun,8000,Energy,66,Russia,
Bernard Marcus,8000,Fashion & Retail,93,United States,Home Depot
Patrick Ryan,8000,Finance & Investments,85,United States,Ryan Specialty Group
Robert F. Smith,8000,Finance & Investments,60,United States,
Pavel Tykac,8000,Metals & Mining,58,Czech Republic,
Eric Wittouck,8000,Finance & Investments,76,Monaco,
Orlando Bravo,7900,Finance & Investments,52,United States,
Ding Shizhong,7900,Fashion & Retail,52,China,
